,0
353,2021-01-09
354,2021-01-10
355,2021-01-11
356,2021-01-12
357,2021-01-13
358,2021-01-14
359,2021-01-15
360,2021-01-16
361,2021-01-17
362,2021-01-18
363,2021-01-19
364,2021-01-20
365,2021-01-21
366,2021-01-22
367,2021-01-23
368,2021-01-24
369,2021-01-25
370,2021-01-26
371,2021-01-27
372,2021-01-28
373,2021-01-29
374,2021-01-30
375,2021-01-31
376,2021-02-01
377,2021-02-02
378,2021-02-03
379,2021-02-04
380,2021-02-05
381,2021-02-06
382,2021-02-07
383,2021-02-08
384,2021-02-09
385,2021-02-10
386,2021-02-11
387,2021-02-12
388,2021-02-13
389,2021-02-14
390,2021-02-15
391,2021-02-16
392,2021-02-17
393,2021-02-18
394,2021-02-19
395,2021-02-20
396,2021-02-21
397,2021-02-22
398,2021-02-23
399,2021-02-24
400,2021-02-25
401,2021-02-26
402,2021-02-27
403,2021-02-28
404,2021-03-01
405,2021-03-02
406,2021-03-03
407,2021-03-04
408,2021-03-05
409,2021-03-06
410,2021-03-07
411,2021-03-08
412,2021-03-09
413,2021-03-10
414,2021-03-11
415,2021-03-12
416,2021-03-13
417,2021-03-14
418,2021-03-15
419,2021-03-16
420,2021-03-17
421,2021-03-18
422,2021-03-19
423,2021-03-20
424,2021-03-21
425,2021-03-22
426,2021-03-23
427,2021-03-24
428,2021-03-25
429,2021-03-26
430,2021-03-27
431,2021-03-28
432,2021-03-29
433,2021-03-30
434,2021-03-31
435,2021-04-01
436,2021-04-02
437,2021-04-03
438,2021-04-04
439,2021-04-05
440,2021-04-06
441,2021-04-07
442,2021-04-08
443,2021-04-09
444,2021-04-10
445,2021-04-11
446,2021-04-12
447,2021-04-13
448,2021-04-14
449,2021-04-15
450,2021-04-16
451,2021-04-17
452,2021-04-18
453,2021-04-19
454,2021-04-20
455,2021-04-21
456,2021-04-22
457,2021-04-23
458,2021-04-24
459,2021-04-25
460,2021-04-26
461,2021-04-27
462,2021-04-28
463,2021-04-29
464,2021-04-30
465,2021-05-01
466,2021-05-02
467,2021-05-03
468,2021-05-04
469,2021-05-05
470,2021-05-06
471,2021-05-07
472,2021-05-08
473,2021-05-09
474,2021-05-10
475,2021-05-11
476,2021-05-12
477,2021-05-13
478,2021-05-14
479,2021-05-15
480,2021-05-16
481,2021-05-17
482,2021-05-18
483,2021-05-19
484,2021-05-20
485,2021-05-21
486,2021-05-22
487,2021-05-23
488,2021-05-24
